USER ID,TEAM,DATE,RATING,REMINDER
UC5GQEJP3,DevTeam08,Tue Oct 09 2018 10:25:13 GMT+1300 (New Zealand Daylight Time),A bit unhappy,
UC5GQEJP3,DevTeam08,Mon Oct 08 2018 13:22:28 GMT+1300 (New Zealand Daylight Time),Very Happy,
UC5EE9CAW,DevTeam08,Mon Oct 08 2018 13:26:37 GMT+1300 (New Zealand Daylight Time),Very Happy,
UC5KUV666,DevTeam08,Mon Oct 08 2018 13:27:19 GMT+1300 (New Zealand Daylight Time),Very Happy,
UC5GQEJP3,DevTeam08,Mon Oct 08 2018 13:50:54 GMT+1300 (New Zealand Daylight Time),A bit unhappy,
UC5GQEJP3,DevTeam08,Mon Oct 08 2018 13:58:24 GMT+1300 (New Zealand Daylight Time),Very Happy,
UC5GQEJP3,DevTeam08,Mon Oct 08 2018 15:02:22 GMT+1300 (New Zealand Daylight Time),Very Happy,
UC5GQEJP3,DevTeam08,Mon Oct 08 2018 17:21:43 GMT+1300 (New Zealand Daylight Time),Neutrual,
UC5GQEJP3,DevTeam08,Mon Oct 08 2018 17:24:34 GMT+1300 (New Zealand Daylight Time),Neutrual,
UC5GQEJP3,DevTeam08,Mon Oct 08 2018 17:38:46 GMT+1300 (New Zealand Daylight Time),Neutrual,
